stop_id,display_order
12TH,13
16TH,19
19TH,12
24TH,20
ANTC,1
ASHB,10
BALB,22
BAYF,9
CAST,8
CIVC,18
COLM,24
COLS,11
CONC,5
DALY,23
DBRK,9
DELN,6
DUBL,6
EMBR,15
FRMT,5
FTVL,12
GLEN,21
HAYW,8
LAFY,8
LAKE,13
MCAR,11
MLBR,28
MONT,16
NBRK,8
NCON,4
OAKL,10
ORIN,9
PCTR,2
PHIL,6
PITT,3
PLZA,7
POWL,17
RICH,5
ROCK,10
SANL,10
SBRN,26
SFIA,27
SHAY,7
SSAN,25
UCTY,6
WARM,4
WCRK,7
WDUB,7
WOAK,14
